GLOBAL UNIQUE IDENTIFIER,COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,LOCALITY ID,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,OBSERVER NAME,OBSERVATION TYPE,DURATION MINUTES,NUMBER OBSERVERS,ALL SPECIES REPORTED,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS406129617,Great Egret,Ardea alba,1,L1210588,2016-05-22,2:42:00 PM,obsr687413,,Traveling,60,3,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406513888,Great Egret,Ardea alba,3,L1210588,2016-05-21,9:04:00 AM,obsr201422,,Traveling,120,112,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407318774,Great Egret,Ardea alba,1,L1210588,2016-05-21,8:15:00 AM,obsr219721,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407836023,Great Egret,Ardea alba,1,L1210588,2016-05-21,8:15:00 AM,obsr722544,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407836026,Great-tailed Grackle,Quiscalus mexicanus,5,L1210588,2016-05-21,8:15:00 AM,obsr722544,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398236632,Great-tailed Grackle,Quiscalus mexicanus,6,L1210588,2016-05-04,7:30:00 AM,obsr165771,,Traveling,120,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407318777,Great-tailed Grackle,Quiscalus mexicanus,5,L1210588,2016-05-21,8:15:00 AM,obsr219721,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406513880,Great-tailed Grackle,Quiscalus mexicanus,7,L1210588,2016-05-21,9:04:00 AM,obsr201422,,Traveling,120,112,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518284,Great-tailed Grackle,Quiscalus mexicanus,6,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518266,Gray Catbird,Dumetella carolinensis,1,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518275,House Finch,Haemorhous mexicanus,5,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398236621,House Finch,Haemorhous mexicanus,2,L1210588,2016-05-04,7:30:00 AM,obsr165771,,Traveling,120,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398236616,House Sparrow,Passer domesticus,7,L1210588,2016-05-04,7:30:00 AM,obsr165771,,Traveling,120,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518288,House Sparrow,Passer domesticus,5,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407836017,hummingbird sp.,Trochilidae sp.,1,L1210588,2016-05-21,8:15:00 AM,obsr722544,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407701709,hummingbird sp.,Trochilidae sp.,1,L1210588,2016-05-21,8:15:00 AM,obsr219721,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406513886,hummingbird sp.,Trochilidae sp.,2,L1210588,2016-05-21,9:04:00 AM,obsr201422,,Traveling,120,112,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407318782,Ladder-backed Woodpecker,Dryobates scalaris,2,L1210588,2016-05-21,8:15:00 AM,obsr219721,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407836031,Ladder-backed Woodpecker,Dryobates scalaris,2,L1210588,2016-05-21,8:15:00 AM,obsr722544,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406513883,Ladder-backed Woodpecker,Dryobates scalaris,2,L1210588,2016-05-21,9:04:00 AM,obsr201422,,Traveling,120,112,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518259,Lesser Goldfinch,Spinus psaltria,3,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398236629,Lesser Goldfinch,Spinus psaltria,4,L1210588,2016-05-04,7:30:00 AM,obsr165771,,Traveling,120,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406513885,Mallard,Anas platyrhynchos,3,L1210588,2016-05-21,9:04:00 AM,obsr201422,,Traveling,120,112,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518278,Mallard,Anas platyrhynchos,1,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407318776,Mallard,Anas platyrhynchos,3,L1210588,2016-05-21,8:15:00 AM,obsr219721,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407836025,Mallard,Anas platyrhynchos,3,L1210588,2016-05-21,8:15:00 AM,obsr722544,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406129621,Mallard,Anas platyrhynchos,1,L1210588,2016-05-22,2:42:00 PM,obsr687413,,Traveling,60,3,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518277,Neotropic Cormorant,Nannopterum brasilianum,7,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398236626,Northern Cardinal,Cardinalis cardinalis,16,L1210588,2016-05-04,7:30:00 AM,obsr165771,,Traveling,120,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407318781,Northern Cardinal,Cardinalis cardinalis,6,L1210588,2016-05-21,8:15:00 AM,obsr219721,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518265,Northern Cardinal,Cardinalis cardinalis,10,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407836030,Northern Cardinal,Cardinalis cardinalis,6,L1210588,2016-05-21,8:15:00 AM,obsr722544,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406129624,Northern Cardinal,Cardinalis cardinalis,1,L1210588,2016-05-22,2:42:00 PM,obsr687413,,Traveling,60,3,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406513884,Northern Cardinal,Cardinalis cardinalis,9,L1210588,2016-05-21,9:04:00 AM,obsr201422,,Traveling,120,112,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406129618,Northern Mockingbird,Mimus polyglottos,2,L1210588,2016-05-22,2:42:00 PM,obsr687413,,Traveling,60,3,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518270,Northern Mockingbird,Mimus polyglottos,1,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398236628,Red-shouldered Hawk,Buteo lineatus,1,L1210588,2016-05-04,7:30:00 AM,obsr165771,,Traveling,120,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518279,Red-shouldered Hawk,Buteo lineatus,1,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518269,Rose-breasted Grosbeak,Pheucticus ludovicianus,1,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,Female.
URN:CornellLabOfOrnithology:EBIRD:OBS398518289,Summer Tanager,Piranga rubra,1,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,Female.
URN:CornellLabOfOrnithology:EBIRD:OBS406513881,Swainson's Thrush,Catharus ustulatus,1,L1210588,2016-05-21,9:04:00 AM,obsr201422,,Traveling,120,112,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518273,Swainson's Thrush,Catharus ustulatus,1,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407318770,Swainson's Thrush,Catharus ustulatus,1,L1210588,2016-05-21,8:15:00 AM,obsr219721,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407701512,Turkey Vulture,Cathartes aura,1,L1210588,2016-05-21,8:15:00 AM,obsr219721,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407836018,Turkey Vulture,Cathartes aura,1,L1210588,2016-05-21,8:15:00 AM,obsr722544,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398236620,Western Kingbird,Tyrannus verticalis,1,L1210588,2016-05-04,7:30:00 AM,obsr165771,,Traveling,120,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406129622,Western Kingbird,Tyrannus verticalis,2,L1210588,2016-05-22,2:42:00 PM,obsr687413,,Traveling,60,3,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518271,Western Kingbird,Tyrannus verticalis,1,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518260,White-eyed Vireo,Vireo griseus,5,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407836029,White-eyed Vireo,Vireo griseus,1,L1210588,2016-05-21,8:15:00 AM,obsr722544,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406513882,White-eyed Vireo,Vireo griseus,4,L1210588,2016-05-21,9:04:00 AM,obsr201422,,Traveling,120,112,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407318780,White-eyed Vireo,Vireo griseus,1,L1210588,2016-05-21,8:15:00 AM,obsr219721,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398236617,White-eyed Vireo,Vireo griseus,4,L1210588,2016-05-04,7:30:00 AM,obsr165771,,Traveling,120,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518276,White-winged Dove,Zenaida asiatica,20,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS406513890,White-winged Dove,Zenaida asiatica,5,L1210588,2016-05-21,9:04:00 AM,obsr201422,,Traveling,120,112,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398236630,White-winged Dove,Zenaida asiatica,1,L1210588,2016-05-04,7:30:00 AM,obsr165771,,Traveling,120,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407318779,White-winged Dove,Zenaida asiatica,4,L1210588,2016-05-21,8:15:00 AM,obsr219721,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS407836028,White-winged Dove,Zenaida asiatica,4,L1210588,2016-05-21,8:15:00 AM,obsr722544,,Traveling,140,14,1,
URN:CornellLabOfOrnithology:EBIRD:OBS400614069,Wood Duck,Aix sponsa,1,L1210588,2016-05-10,7:25:00 AM,obsr404651,,Traveling,90,2,0,
URN:CornellLabOfOrnithology:EBIRD:OBS406129619,Yellow-crowned Night Heron,Nyctanassa violacea,1,L1210588,2016-05-22,2:42:00 PM,obsr687413,,Traveling,60,3,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398236618,Yellow-crowned Night Heron,Nyctanassa violacea,1,L1210588,2016-05-04,7:30:00 AM,obsr165771,,Traveling,120,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518263,Yellow-crowned Night Heron,Nyctanassa violacea,1,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518261,Yellow-billed Cuckoo,Coccyzus americanus,1,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398236633,Yellow-billed Cuckoo,Coccyzus americanus,1,L1210588,2016-05-04,7:30:00 AM,obsr165771,,Traveling,120,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS398518268,Yellow Warbler,Setophaga petechia,2,L1210588,2016-05-05,7:28:00 AM,obsr404651,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513264,American Robin,Turdus migratorius,2,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513260,Black-bellied Whistling-Duck,Dendrocygna autumnalis,2,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421466416,Black-chinned Hummingbird,Archilochus alexandri,1,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513268,Black-chinned Hummingbird,Archilochus alexandri,1,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252159,Black-chinned Hummingbird,Archilochus alexandri,1,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447993,Black-chinned Hummingbird,Archilochus alexandri,1,L1210588,2016-07-29,7:20:00 AM,obsr219721,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252164,Black-crested Titmouse,Baeolophus atricristatus,2,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447389,Black-crested Titmouse,Baeolophus atricristatus,1,L1210588,2016-07-23,7:20:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419512003,Black-crested Titmouse,Baeolophus atricristatus,1,L1210588,2016-07-21,8:00:00 AM,obsr219721,,Traveling,180,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419512001,Black Vulture,Coragyps atratus,7,L1210588,2016-07-21,8:00:00 AM,obsr219721,,Traveling,180,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252161,Black Vulture,Coragyps atratus,12,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421466414,Black Vulture,Coragyps atratus,7,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447989,Black Vulture,Coragyps atratus,5,L1210588,2016-07-29,7:20:00 AM,obsr219721,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513270,Black Vulture,Coragyps atratus,2,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252158,Blue Jay,Cyanocitta cristata,1,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421466412,Blue Jay,Cyanocitta cristata,1,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513267,Blue Jay,Cyanocitta cristata,1,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252168,Carolina Chickadee,Poecile carolinensis,3,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421466415,Carolina Chickadee,Poecile carolinensis,1,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419511996,Carolina Chickadee,Poecile carolinensis,1,L1210588,2016-07-21,8:00:00 AM,obsr219721,,Traveling,180,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513257,Carolina Chickadee,Poecile carolinensis,1,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421449220,Carolina Wren,Thryothorus ludovicianus,2,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447382,Carolina Wren,Thryothorus ludovicianus,3,L1210588,2016-07-23,7:20:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419511994,Carolina Wren,Thryothorus ludovicianus,4,L1210588,2016-07-21,8:00:00 AM,obsr219721,,Traveling,180,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513262,Carolina Wren,Thryothorus ludovicianus,5,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447990,Carolina Wren,Thryothorus ludovicianus,2,L1210588,2016-07-29,7:20:00 AM,obsr219721,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252171,Carolina Wren,Thryothorus ludovicianus,3,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419511999,Western Cattle-Egret,Ardea ibis,1,L1210588,2016-07-21,8:00:00 AM,obsr219721,,Traveling,180,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252167,Western Cattle-Egret,Ardea ibis,5,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513258,Eastern Phoebe,Sayornis phoebe,1,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252170,Eastern Phoebe,Sayornis phoebe,1,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447387,European Starling,Sturnus vulgaris,1,L1210588,2016-07-23,7:20:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447995,European Starling,Sturnus vulgaris,8,L1210588,2016-07-29,7:20:00 AM,obsr219721,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421466413,European Starling,Sturnus vulgaris,3,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252162,Golden-fronted Woodpecker,Melanerpes aurifrons,2,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447390,Golden-fronted Woodpecker,Melanerpes aurifrons,1,L1210588,2016-07-23,7:20:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513265,Golden-fronted Woodpecker,Melanerpes aurifrons,2,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421466411,Golden-fronted Woodpecker,Melanerpes aurifrons,1,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513259,Great Egret,Ardea alba,3,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419512004,Great Egret,Ardea alba,1,L1210588,2016-07-21,8:00:00 AM,obsr219721,,Traveling,180,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252165,Great Egret,Ardea alba,1,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252177,Great-tailed Grackle,Quiscalus mexicanus,4,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447383,Great-tailed Grackle,Quiscalus mexicanus,4,L1210588,2016-07-23,7:20:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421449219,Great-tailed Grackle,Quiscalus mexicanus,2,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252160,House Sparrow,Passer domesticus,4,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447385,House Sparrow,Passer domesticus,2,L1210588,2016-07-23,7:20:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421448487,House Sparrow,Passer domesticus,3,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252169,Inca Dove,Columbina inca,1,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447988,Killdeer,Charadrius vociferus,1,L1210588,2016-07-29,7:20:00 AM,obsr219721,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421448488,Killdeer,Charadrius vociferus,1,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421449221,Ladder-backed Woodpecker,Dryobates scalaris,1,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252175,Ladder-backed Woodpecker,Dryobates scalaris,2,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419511998,Ladder-backed Woodpecker,Dryobates scalaris,2,L1210588,2016-07-21,8:00:00 AM,obsr219721,,Traveling,180,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421448680,Ladder-backed Woodpecker,Dryobates scalaris,1,L1210588,2016-07-29,7:20:00 AM,obsr219721,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513263,Ladder-backed Woodpecker,Dryobates scalaris,1,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421463934,Long-billed Thrasher,Toxostoma longirostre,1,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252163,Loggerhead Shrike,Lanius ludovicianus,1,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513266,Mourning Dove,Zenaida macroura,1,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421449222,Northern Cardinal,Cardinalis cardinalis,2,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447381,Northern Cardinal,Cardinalis cardinalis,4,L1210588,2016-07-23,7:20:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447994,Northern Cardinal,Cardinalis cardinalis,3,L1210588,2016-07-29,7:20:00 AM,obsr219721,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419511997,Northern Cardinal,Cardinalis cardinalis,5,L1210588,2016-07-21,8:00:00 AM,obsr219721,,Traveling,180,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513272,Northern Cardinal,Cardinalis cardinalis,7,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419512000,Northern Mockingbird,Mimus polyglottos,5,L1210588,2016-07-21,8:00:00 AM,obsr219721,,Traveling,180,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447388,Northern Mockingbird,Mimus polyglottos,7,L1210588,2016-07-23,7:20:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447986,Northern Mockingbird,Mimus polyglottos,4,L1210588,2016-07-29,7:20:00 AM,obsr219721,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421466407,Northern Mockingbird,Mimus polyglottos,7,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419515241,Northern Mockingbird,Mimus polyglottos,5,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252172,Red-shouldered Hawk,Buteo lineatus,1,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421463935,Scissor-tailed Flycatcher,Tyrannus forficatus,1,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252178,Snowy Egret,Egretta thula,1,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513271,Snowy Egret,Egretta thula,1,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419511995,Summer Tanager,Piranga rubra,1,L1210588,2016-07-21,8:00:00 AM,obsr219721,,Traveling,180,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447987,Summer Tanager,Piranga rubra,1,L1210588,2016-07-29,7:20:00 AM,obsr219721,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447991,Swainson's Hawk,Buteo swainsoni,1,L1210588,2016-07-29,7:20:00 AM,obsr219721,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447384,Western Kingbird,Tyrannus verticalis,1,L1210588,2016-07-23,7:20:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421466410,Western Kingbird,Tyrannus verticalis,1,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252174,Western Kingbird,Tyrannus verticalis,3,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513269,Western Kingbird,Tyrannus verticalis,1,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419513256,White-eyed Vireo,Vireo griseus,2,L1210588,2016-07-22,7:30:00 AM,obsr219721,,Traveling,250,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447386,White-eyed Vireo,Vireo griseus,1,L1210588,2016-07-23,7:20:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252173,White-eyed Vireo,Vireo griseus,2,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS419512002,White-eyed Vireo,Vireo griseus,4,L1210588,2016-07-21,8:00:00 AM,obsr219721,,Traveling,180,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421447992,White-eyed Vireo,Vireo griseus,2,L1210588,2016-07-29,7:20:00 AM,obsr219721,,Traveling,90,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421466417,White-eyed Vireo,Vireo griseus,1,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS420252166,White-winged Dove,Zenaida asiatica,3,L1210588,2016-07-26,7:10:00 AM,obsr219721,,Traveling,300,2,1,
URN:CornellLabOfOrnithology:EBIRD:OBS421466408,White-winged Dove,Zenaida asiatica,4,L1210588,2016-07-25,9:45:00 AM,obsr219721,,Traveling,240,2,1,
