GLOBAL UNIQUE IDENTIFIER,COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,LOCALITY ID,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,OBSERVER NAME,OBSERVATION TYPE,DURATION MINUTES,NUMBER OBSERVERS,ALL SPECIES REPORTED,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS26039205,Purple Martin,Progne subis,X,L1210849,2005-06-30,10:00:00 AM,obsr56581,,Incidental,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS26039201,Rock Pigeon,Columba livia,X,L1210849,2005-06-30,10:00:00 AM,obsr56581,,Incidental,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS26039182,Snowy Egret,Egretta thula,X,L1210849,2005-06-30,10:00:00 AM,obsr56581,,Incidental,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS26039188,Turkey Vulture,Cathartes aura,4,L1210849,2005-06-30,10:00:00 AM,obsr56581,,Incidental,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS26039197,Western Kingbird,Tyrannus verticalis,1,L1210849,2005-06-30,10:00:00 AM,obsr56581,,Incidental,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS26039186,White-winged Dove,Zenaida asiatica,X,L1210849,2005-06-30,10:00:00 AM,obsr56581,,Incidental,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS26039198,Wood Duck,Aix sponsa,10,L1210849,2005-06-30,10:00:00 AM,obsr56581,,Incidental,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS26039206,Yellow-crowned Night Heron,Nyctanassa violacea,10,L1210849,2005-06-30,10:00:00 AM,obsr56581,,Incidental,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS26039189,Yellow-billed Cuckoo,Coccyzus americanus,1,L1210849,2005-06-30,10:00:00 AM,obsr56581,,Incidental,180,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815392,Barn Swallow,Hirundo rustica,20,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815389,Black-bellied Whistling-Duck,Dendrocygna autumnalis,5,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815396,Black-crested Titmouse,Baeolophus atricristatus,1,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815393,Brown-headed Cowbird,Molothrus ater,10,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815397,Carolina Chickadee,Poecile carolinensis,1,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815394,Carolina Wren,Thryothorus ludovicianus,1,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815399,Cliff Swallow,Petrochelidon pyrrhonota,15,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815382,Couch's Kingbird,Tyrannus couchii,1,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815387,Great Blue Heron,Ardea herodias,2,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815702,Great Crested Flycatcher,Myiarchus crinitus,1,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815390,Great Egret,Ardea alba,5,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815384,Green Heron,Butorides virescens,1,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815398,Great-tailed Grackle,Quiscalus mexicanus,30,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815386,House Sparrow,Passer domesticus,20,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815388,Killdeer,Charadrius vociferus,1,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815391,Mourning Dove,Zenaida macroura,2,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815383,Northern Cardinal,Cardinalis cardinalis,30,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815395,Northern Mockingbird,Mimus polyglottos,6,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815400,Western Kingbird,Tyrannus verticalis,2,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS121815385,White-winged Dove,Zenaida asiatica,5,L1210588,2011-06-27,6:10:00 PM,obsr195234,,Area,150,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661258,Brown-headed Cowbird,Molothrus ater,30,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661260,Barred Owl,Strix varia,1,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661257,Carolina Wren,Thryothorus ludovicianus,3,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661259,Cave Swallow,Petrochelidon fulva,50,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661262,European Starling,Sturnus vulgaris,1,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661264,Great-tailed Grackle,Quiscalus mexicanus,40,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661266,House Finch,Haemorhous mexicanus,2,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661268,House Sparrow,Passer domesticus,10,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661261,Inca Dove,Columbina inca,1,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661269,Loggerhead Shrike,Lanius ludovicianus,1,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661263,Northern Cardinal,Cardinalis cardinalis,15,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661267,Northern Mockingbird,Mimus polyglottos,15,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS122661265,White-winged Dove,Zenaida asiatica,1,L1210588,2011-07-14,7:00:00 AM,obsr195234,,Area,535,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS125900321,Brown-headed Cowbird,Molothrus ater,1,L1210588,2011-09-09,5:35:00 PM,obsr195234,,Area,125,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS125900318,Dickcissel,Spiza americana,2,L1210588,2011-09-09,5:35:00 PM,obsr195234,,Area,125,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS125900319,Great-tailed Grackle,Quiscalus mexicanus,1,L1210588,2011-09-09,5:35:00 PM,obsr195234,,Area,125,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS125900320,Inca Dove,Columbina inca,3,L1210588,2011-09-09,5:35:00 PM,obsr195234,,Area,125,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS125900317,Northern Cardinal,Cardinalis cardinalis,8,L1210588,2011-09-09,5:35:00 PM,obsr195234,,Area,125,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS125900322,Northern Mockingbird,Mimus polyglottos,16,L1210588,2011-09-09,5:35:00 PM,obsr195234,,Area,125,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS125900316,White-winged Dove,Zenaida asiatica,1,L1210588,2011-09-09,5:35:00 PM,obsr195234,,Area,125,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127545,Black-crested Titmouse,Baeolophus atricristatus,X,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127549,Barred Owl,Strix varia,1,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127540,Carolina Chickadee,Poecile carolinensis,X,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127535,Carolina Wren,Thryothorus ludovicianus,5,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127534,Couch's Kingbird,Tyrannus couchii,1,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127536,Downy Woodpecker,Dryobates pubescens,3,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127541,Eastern Phoebe,Sayornis phoebe,1,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127546,Golden-fronted Woodpecker,Melanerpes aurifrons,1,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127532,Great-tailed Grackle,Quiscalus mexicanus,X,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
URN:CornellLabOfOrnithology:EBIRD:OBS130127550,Hermit Thrush,Catharus guttatus,1,L1210849,2011-11-13,5:00:00 PM,obsr56581,,Traveling,60,1,1,
