OBSERVATIONDATETIME	LOCATION	WEDGE	CATEGORY	COMMONNAME	SCIENTIFICNAME	STATUS	NOTES
3/1/2024	Garden	4	Plant	Heart leaf hibiscus	Hibiscus martianus	None	
3/1/2024	Garden	4	Plant	Blue mistflower	Conoclinium coelestinum	New growth	
3/1/2024	Garden	5	Plant	Prairie verbena	Glandularia bipinnatifida	Blooming	
3/1/2024	Garden	5	Plant	Autumn sage	Salvia greggii	Blooming	
3/1/2024	Garden	5	Plant	Apache plume	Fallugia paradoxa	New growth	
3/1/2024	Garden	6	Plant	Frogfruit	Phyla nodiflora	New growth	
3/1/2024	Garden	6	Plant	Lindheimer muhly	Muhlenbergia lindheimeri	New growth	
3/1/2024	Garden	6	Plant	American beautyberry	Callicarpa americana	None	
3/1/2024	Garden	7	Plant	Snakeherb	Dyschoriste linearis	Green	
3/1/2024	Garden	7	Plant	Pink guara	Oenothera lindheimeri	Green	1 new plant
3/1/2024	Garden	7	Plant	White mistflower	Ageratina havanensis	New growth	
3/1/2024	Garden	8	Plant	Gregg dalea	Dalea greggii	Blooming	
3/1/2024	Garden	8	Plant	Zexmenia	Wedelia texana	New growth	
3/1/2024	Garden	8	Plant	Red yucca	Hesperaloe parviflora	Full growth	
3/1/2024	Garden	9	Plant	Mountain pea	Sophora secundiflora	New growth	
3/1/2024	Garden	9	Plant	Butterfly weed	Asclepias tuberosa	None	Antelope horn  milkweed added
3/1/2024	Garden	9	Plant	Gulf muhly	Muhlenbergia capillaris	New growth	
3/1/2024	Garden	10	Plant	Silver ponyfoot	Dichondra argentea	New growth	
3/1/2024	Garden	10	Plant	Dwarf Barbados Cherry	Malpighia emarginata	New growth	
3/1/2024	Garden	10	Plant	Buttonbush	Cephalanthus occidentalis	None	
3/1/2024	Garden	11	Plant	Frogfruit	Phyla nodiflora	New growth	
3/1/2024	Garden	11	Plant	Texas lantana	Lantana urticoides	New growth	
3/1/2024	Garden	11	Plant	Globe mallow	Sphaeralcea ambigua	Blooming	
3/1/2024	Garden	12	Plant	Lyreleaf sage	Salvia lyrata	Multiple rosettes	
3/1/2024	Garden	12	Plant	Engelmann daisy	Engelmannia peristenia	Green 1 blossom	
3/1/2024	Garden	12	Plant	Obedient plant	Physostegia virginiana	New growth	
